procs,num_docs,vocab_size,top_k,index_time,scatter_time,search_time,merge_time,total_time
1,100,4878,10,1.054200,0.000000,0.000840,0.000000,1.055040
1,100,4878,10,0.973968,0.000000,0.000841,0.000001,0.974809
1,100,4878,10,0.929592,0.000000,0.000853,0.000001,0.930446
2,100,4878,10,0.617753,0.000000,0.000431,0.010154,0.628337
2,100,4878,10,0.615149,0.000000,0.000424,0.010532,0.626105
2,100,4878,10,0.614063,0.000000,0.000433,0.010618,0.625114
4,100,4878,10,0.448499,0.000000,0.000210,0.028584,0.477294
4,100,4878,10,0.445977,0.000000,0.000210,0.028351,0.474539
4,100,4878,10,0.433570,0.000000,0.000210,0.028426,0.462206
8,100,4878,10,0.497475,0.000000,0.000110,0.082846,0.580431
8,100,4878,10,0.501554,0.000000,0.000110,0.082570,0.584234
8,100,4878,10,0.504826,0.000000,0.000110,0.083613,0.588549
16,100,4878,10,0.770392,0.000000,0.000127,0.040558,0.811076
16,100,4878,10,0.767022,0.000000,0.000126,0.036419,0.803567
16,100,4878,10,0.733456,0.000000,0.000135,0.041857,0.775448
32,100,4878,10,0.727508,0.000000,0.000072,0.024847,0.752427
32,100,4878,10,0.700803,0.000000,0.000072,0.031871,0.732747
32,100,4878,10,0.717029,0.000000,0.000072,0.027319,0.744421
64,100,4878,10,0.718142,0.000000,0.000037,0.206122,0.924300
64,100,4878,10,0.716697,0.000000,0.000028,0.022933,0.739658
64,100,4878,10,0.706408,0.000000,0.000037,0.222558,0.929002
1,500,5000,10,5.043228,0.000000,0.004216,0.000001,5.047445
1,500,5000,10,4.666452,0.000000,0.004213,0.000002,4.670666
1,500,5000,10,4.716383,0.000000,0.004399,0.000001,4.720783
2,500,5000,10,2.540082,0.000000,0.002096,0.000040,2.542219
2,500,5000,10,2.531444,0.000000,0.002088,0.000039,2.533571
2,500,5000,10,2.532938,0.000000,0.002098,0.000037,2.535073
4,500,5000,10,1.569102,0.000000,0.001124,0.060987,1.631213
4,500,5000,10,1.558186,0.000000,0.001122,0.061233,1.620542
4,500,5000,10,1.574074,0.000000,0.001118,0.061431,1.636623
8,500,5000,10,1.623299,0.000000,0.000570,0.386250,2.010118
8,500,5000,10,1.620080,0.000000,0.000580,0.382325,2.002985
8,500,5000,10,1.616678,0.000000,0.000570,0.390724,2.007972
16,500,5000,10,2.474347,0.000000,0.000601,0.087970,2.562918
16,500,5000,10,2.437802,0.000000,0.000536,0.131370,2.569708
16,500,5000,10,2.469457,0.000000,0.000625,0.079502,2.549584
32,500,5000,10,2.520268,0.000000,0.000255,0.086823,2.607346
32,500,5000,10,2.536286,0.000000,0.000309,0.067351,2.603946
32,500,5000,10,2.485539,0.000000,0.000309,0.077787,2.563635
64,500,5000,10,2.695336,0.000000,0.000136,0.056953,2.752425
64,500,5000,10,2.744115,0.000000,0.000163,0.062913,2.807191
64,500,5000,10,2.652836,0.000000,0.000128,0.064698,2.717663
1,1000,5000,10,10.167945,0.000000,0.009518,0.000001,10.177464
1,1000,5000,10,9.342789,0.000000,0.008411,0.000001,9.351201
1,1000,5000,10,8.882514,0.000000,0.008368,0.000001,8.890883
2,1000,5000,10,4.779710,0.000000,0.004214,0.118326,4.902249
2,1000,5000,10,4.781298,0.000000,0.004208,0.114037,4.899543
2,1000,5000,10,4.797769,0.000000,0.004230,0.106029,4.908028
4,1000,5000,10,2.759202,0.000000,0.002107,0.063492,2.824802
4,1000,5000,10,2.772041,0.000000,0.002110,0.055164,2.829315
4,1000,5000,10,2.773993,0.000000,0.002126,0.058441,2.834559
8,1000,5000,10,2.721024,0.000000,0.001094,0.713804,3.435922
8,1000,5000,10,2.727908,0.000000,0.001097,0.714028,3.443033
8,1000,5000,10,2.723788,0.000000,0.001093,0.717177,3.442058
16,1000,5000,10,3.583313,0.000000,0.001045,0.210983,3.795341
16,1000,5000,10,3.731501,0.000000,0.001231,0.131535,3.864266
16,1000,5000,10,3.698019,0.000000,0.001218,0.133098,3.832335
32,1000,5000,10,4.095121,0.000000,0.000617,0.102436,4.198173
32,1000,5000,10,3.980409,0.000000,0.000615,0.095096,4.076120
32,1000,5000,10,4.003099,0.000000,0.000618,0.124453,4.128169
64,1000,5000,10,4.710226,0.000000,0.000300,0.076935,4.787462
64,1000,5000,10,4.702107,0.000000,0.000318,0.073261,4.775686
64,1000,5000,10,4.697620,0.000000,0.000301,0.080041,4.777962
1,5000,5000,10,49.447638,0.000000,0.042549,0.000001,49.490189
1,5000,5000,10,45.308852,0.000000,0.041937,0.000001,45.350790
1,5000,5000,10,43.317936,0.000000,0.042562,0.000001,43.360500
2,5000,5000,10,21.993047,0.000000,0.020869,0.143915,22.157830
2,5000,5000,10,21.802309,0.000000,0.020847,0.164371,21.987527
2,5000,5000,10,21.845745,0.000000,0.020849,0.131611,21.998205
4,5000,5000,10,11.400780,0.000000,0.010533,0.048370,11.459683
4,5000,5000,10,11.391129,0.000000,0.010478,0.060067,11.461674
4,5000,5000,10,11.384715,0.000000,0.010486,0.043445,11.438647
8,5000,5000,10,10.329750,0.000000,0.005532,3.365630,13.700912
8,5000,5000,10,10.301015,0.000000,0.005568,3.307467,13.614049
8,5000,5000,10,10.292847,0.000000,0.005512,3.374922,13.673281
16,5000,5000,10,9.864977,0.000000,0.003329,0.213198,10.081504
16,5000,5000,10,9.849032,0.000000,0.005836,0.181046,10.035914
16,5000,5000,10,9.145495,0.000000,0.005205,0.600695,9.751395
32,5000,5000,10,8.515593,0.000000,0.001927,0.176977,8.694497
32,5000,5000,10,8.315323,0.000000,0.003004,0.149444,8.467771
32,5000,5000,10,7.573029,0.000000,0.002600,0.384956,7.960584
64,5000,5000,10,9.475202,0.000000,0.001280,0.250859,9.727341
64,5000,5000,10,10.474622,0.000000,0.001532,0.185476,10.661631
64,5000,5000,10,10.342917,0.000000,0.001517,0.175797,10.520230
