procs,num_docs,index_time_mean,index_time_std,scatter_time_mean,scatter_time_std,search_time_mean,search_time_std,merge_time_mean,merge_time_std,total_time_mean,total_time_std
1,100,0.951419,0.042462,0.000000,0.000000,0.000850,0.000003,0.000003,0.000000,0.952273,0.042460
1,500,4.684201,0.233638,0.000000,0.000000,0.004210,0.000020,0.000011,0.000006,4.688423,0.233648
1,1000,9.212198,0.604774,0.000000,0.000000,0.008400,0.000017,0.000011,0.000005,9.220610,0.604755
1,5000,44.977378,1.623236,0.000000,0.000000,0.042409,0.000133,0.000020,0.000004,45.019807,1.623201
2,100,0.616937,0.002865,0.000000,0.000000,0.000429,0.000008,0.009449,0.000998,0.626813,0.001879
2,500,2.527162,0.006131,0.000000,0.000000,0.002100,0.000007,0.000032,0.000006,2.529295,0.006137
2,1000,4.777903,0.001772,0.000000,0.000000,0.004218,0.000015,0.114519,0.001467,4.896641,0.003197
2,5000,21.833034,0.017722,0.000000,0.000000,0.020925,0.000167,0.159615,0.017443,22.013573,0.025232
4,100,0.441292,0.012705,0.000000,0.000000,0.000211,0.000001,0.028374,0.000145,0.469877,0.012645
4,500,1.555740,0.000822,0.000000,0.000000,0.001123,0.000009,0.060140,0.001296,1.617003,0.002078
4,1000,2.771498,0.006634,0.000000,0.000000,0.002100,0.000003,0.061024,0.004023,2.834621,0.009745
4,5000,11.413273,0.007775,0.000000,0.000000,0.010534,0.000051,0.062549,0.007690,11.486356,0.015273
8,100,0.498289,0.001338,0.000000,0.000000,0.000113,0.000005,0.083270,0.000251,0.581671,0.001592
8,500,1.618995,0.001110,0.000000,0.000000,0.000580,0.000006,0.386819,0.004839,2.006394,0.005231
8,1000,2.720730,0.001097,0.000000,0.000000,0.001090,0.000014,0.718848,0.001050,3.440668,0.001466
8,5000,10.295742,0.004384,0.000000,0.000000,0.005485,0.000013,3.406297,0.034075,13.707523,0.030870
16,100,0.743884,0.004248,0.000000,0.000000,0.000132,0.000005,0.042239,0.000566,0.786255,0.004642
16,500,2.432468,0.018896,0.000000,0.000000,0.000543,0.000064,0.104657,0.014014,2.537668,0.019181
16,1000,3.674867,0.095602,0.000000,0.000000,0.001151,0.000101,0.152179,0.048511,3.828197,0.054190
16,5000,9.849131,0.034046,0.000000,0.000000,0.005969,0.000142,0.188578,0.025810,10.043677,0.020319
32,100,0.709238,0.019763,0.000000,0.000000,0.000072,0.000000,0.026685,0.002262,0.735995,0.018083
32,500,2.527652,0.024392,0.000000,0.000000,0.000319,0.000001,0.080819,0.006430,2.608790,0.019700
32,1000,3.930511,0.095877,0.000000,0.000000,0.000588,0.000060,0.120351,0.022952,4.051449,0.074145
32,5000,7.958897,0.406354,0.000000,0.000000,0.002750,0.000226,0.264638,0.120753,8.226284,0.300168
64,100,0.721668,0.008703,0.000000,0.000000,0.000037,0.000000,0.078484,0.099410,0.800189,0.090711
64,500,2.714350,0.017410,0.000000,0.000000,0.000143,0.000012,0.060648,0.009400,2.775142,0.025141
64,1000,4.645330,0.103392,0.000000,0.000000,0.000297,0.000018,0.083441,0.008743,4.729068,0.096318
64,5000,10.057615,0.649025,0.000000,0.000000,0.001446,0.000129,0.196109,0.038998,10.255170,0.610229
